SIGLA ICAO AERÓDROMO;SIGLA IATA AERÓDROMO;NOME AERÓDROMO;MUNICÍPIO AERÓDROMO;ESTADO AERÓDROMO;PAÍS AERÓDROMO;AERONAVE CRÍTICA;LATITUDE;LONGITUDE
KBIH;BIH;EASTERN SIERRA REGIONAL AIRPORT;BISHOP, CALIFORNIA;;ESTADOS UNIDOS DA AMÉRICA;N/I;37,373056;-118,363611
KBIL;BIL;BILLINGS LOGAN INTERNATIONAL AIRPORT;BILLINGS, MONTANA;;ESTADOS UNIDOS DA AMÉRICA;N/I;45,807778;-108,542778
KBIS;BIS;BISMARCK MUNICIPAL AIRPORT;BISMARCK, NORTH DAKOTA;;ESTADOS UNIDOS DA AMÉRICA;N/I;46,772778;-100,745833
KBIV;...;WEST MICHIGAN REGIONAL AIRPORT;HOLLAND, MICHIGAN;;ESTADOS UNIDOS DA AMÉRICA;N/I;42,742778;-86,107778
KBIX;BIX;KEESLER AIR FORCE BASE;BILOXI, MISSISSIPPI;;ESTADOS UNIDOS DA AMÉRICA;N/I;30,411389;-88,923611
KBJC;BJC;ROCKY MOUNTAIN METROPOLITAN AIRPORT;DENVER, COLORADO;;ESTADOS UNIDOS DA AMÉRICA;N/I;39,908889;-105,117222
KBJI;BJI;BEMIDJI REGIONAL AIRPORT;BEMIDJI, MINNESOTA;;ESTADOS UNIDOS DA AMÉRICA;N/I;47,510833;-94,934722
KBJJ;BJJ;WAYNE COUNTY AIRPORT;WOOSTER, OHIO;;ESTADOS UNIDOS DA AMÉRICA;N/I;40,874722;-81,888333
KBJN;BJN;TONOPAH TEST RANGE AIRPORT;TONOPAH, NEVADA;;ESTADOS UNIDOS DA AMÉRICA;N/I;37,794722;-116,778611
KBKE;BKE;BAKER CITY MUNICIPAL AIRPORT;BAKER CITY, OREGON;;ESTADOS UNIDOS DA AMÉRICA;N/I;44,837222;-117,809167
KBKF;BFK;BUCKLEY AIR FORCE BASE;AURORA, COLORADO;;ESTADOS UNIDOS DA AMÉRICA;N/I;39,701667;-104,751667
KBKL;BKL;CLEVELAND BURKE LAKEFRONT AIRPORT;CLEVELAND, OHIO;;ESTADOS UNIDOS DA AMÉRICA;N/I;415,175;-81,683333
KBKT;BKT;ALLEN C. PERKINSON AIRPORT/BLACKSTONE ARMY AIRFIELD;BLACKSTONE, VIRGINIA;;ESTADOS UNIDOS DA AMÉRICA;N/I;37,073889;-779,525
KBKV;BKV;HERNANDO COUNTY AIRPORT;BROOKSVILLE, FLORIDA;;ESTADOS UNIDOS DA AMÉRICA;N/I;28,473611;-82,455556
KBKW;BKW;BECKLEY RALEIGH COUNTY MEMORIAL AIRPORT;BECKLEY, WEST VIRGINIA;;ESTADOS UNIDOS DA AMÉRICA;N/I;37,787222;-81,124167
KBKX;BKX;BROOKINGS MUNICIPAL AIRPORT;BROOKINGS, SOUTH DAKOTA;;ESTADOS UNIDOS DA AMÉRICA;N/I;44,304722;-96,816944
KBLF;BLF;MERCER COUNTY AIRPORT;BLUEFIELD, WEST VIRGINIA;;ESTADOS UNIDOS DA AMÉRICA;N/I;37,295833;-81,207778
KBLH;BLH;BLYTHE AIRPORT;BLYTHE, CALIFORNIA;;ESTADOS UNIDOS DA AMÉRICA;N/I;33,619167;-114,716944
KBLI;BLI;BELLINGHAM INTERNATIONAL AIRPORT;BELLINGHAM, WASHINGTON;;ESTADOS UNIDOS DA AMÉRICA;N/I;4,879275;-122,537528
KBLM;BLM;MONMOUTH EXECUTIVE AIRPORT;BELMAR/FARMINGDALE, NEW JERSEY;;ESTADOS UNIDOS DA AMÉRICA;N/I;40,186944;-74,125
